Borough,Primary Property Type - Self Selected,Year Built,Number of Buildings - Self-reported,Occupancy,Metered Areas (Energy),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Weather Normalized Source EUI (kBtu/ft²),Weather Normalized Site Natural Gas Use (therms),Weather Normalized Site Electricity (kWh),Total GHG Emissions (Metric Tons CO2e),Property GFA - Self-Reported (ft²),score,TaxBlock,TaxLotNum
1.0,1.0,1928.0,1.0,100.0,1.0,102.5,4.1,0.9,137.1,64321.1,301337.5,417.8,72806.0,43.0,2035.0,1.0
4.0,1.0,1953.0,12.0,100.0,1.0,34.6,7.7,0.1,91.6,59854.4,5695967.6,2200.4,735000.0,96.0,6790.0,1.0
4.0,1.0,1953.0,1.0,100.0,1.0,82.4,5.1,0.5,127.9,44947.2,509022.1,277.3,70000.0,100.0,6790.0,1.0
4.0,1.0,1953.0,1.0,100.0,1.0,82.4,5.1,0.5,127.9,44947.2,509022.1,279.8,70000.0,100.0,6790.0,1.0
4.0,1.0,1953.0,1.0,100.0,1.0,82.4,5.1,0.5,127.9,44947.2,509022.1,314.6,70000.0,100.0,6790.0,1.0
4.0,1.0,1953.0,1.0,100.0,1.0,170.8,5.1,1.7,179.4,119577.3,509022.1,574.6,70000.0,36.0,6789.0,15.0
4.0,1.0,1953.0,1.0,100.0,1.0,142.9,5.1,1.4,150.0,100002.4,509022.1,483.3,70000.0,69.0,6789.0,15.0
4.0,1.0,1955.0,1.0,100.0,1.0,49.9,5.1,0.5,52.4,34925.7,509022.1,171.7,70000.0,100.0,6792.0,600.0
4.0,1.0,1955.0,1.0,100.0,1.0,1.8,5.1,0.0,1.9,1289.6,509022.1,6.0,70000.0,100.0,6792.0,600.0
4.0,1.0,1955.0,1.0,100.0,1.0,82.4,5.1,0.5,127.9,44947.2,509022.1,135.1,35000.0,100.0,6792.0,600.0
4.0,1.0,1955.0,1.0,100.0,1.0,82.4,5.1,0.5,127.9,44947.2,509022.1,181.6,70000.0,100.0,6792.0,600.0
4.0,1.0,1955.0,1.0,100.0,1.0,82.4,5.1,0.5,127.9,44947.2,509022.1,120.8,35000.0,100.0,6792.0,600.0
4.0,1.0,1955.0,1.0,100.0,1.0,82.4,5.1,0.5,127.9,44947.2,509022.1,261.9,70000.0,100.0,6792.0,600.0
4.0,1.0,1954.0,5.0,100.0,1.0,26.1,7.0,0.0,77.1,8107.3,2438522.1,858.3,350000.0,99.0,6791.0,1.0
4.0,1.0,1954.0,1.0,100.0,1.0,82.4,5.1,0.5,127.9,44947.2,509022.1,191.8,70000.0,100.0,6791.0,1.0
4.0,1.0,1966.0,1.0,100.0,1.0,45.6,12.8,0.0,139.5,2533.5,1874776.1,571.2,145938.0,65.0,6791.0,25.0
3.0,1.0,1953.0,3.0,95.0,1.0,89.1,4.7,0.7,127.2,230836.1,1489364.5,1631.7,316000.0,65.0,4590.0,51.0
4.0,1.0,1950.0,3.0,100.0,1.0,34.2,3.2,0.1,57.9,13737.1,743834.9,610.3,233877.0,100.0,5016.0,7.0
4.0,1.0,1951.0,2.0,100.0,1.0,99.7,6.3,0.8,149.7,85642.1,691109.4,646.0,109562.0,26.0,8276.0,10.0
4.0,1.0,1951.0,4.0,100.0,1.0,87.0,5.9,0.7,133.5,117730.7,1039144.6,961.2,176032.0,36.0,8276.0,20.0
4.0,1.0,1953.0,3.0,100.0,1.0,125.7,6.0,1.1,174.7,159479.2,907007.5,1063.8,151492.0,17.0,8349.0,36.0
4.0,1.0,1953.0,3.0,100.0,1.0,125.2,6.2,1.0,175.7,162475.8,968997.7,1110.1,156144.0,14.0,8337.0,1.0
4.0,1.0,1953.0,3.0,100.0,1.0,121.2,6.3,1.0,171.9,146203.7,917509.1,1010.0,146484.0,17.0,8353.0,1.0
4.0,1.0,1953.0,5.0,100.0,1.0,128.5,5.7,1.1,175.5,278972.3,1453607.8,1838.5,255704.0,15.0,8358.0,1.0
4.0,1.0,1953.0,3.0,100.0,1.0,127.6,5.9,1.1,176.2,197550.8,1088595.4,1297.0,183912.0,16.0,8363.0,1.0
1.0,1.0,1939.0,2.0,100.0,1.0,78.1,6.3,0.6,127.0,90027.9,1003615.5,768.7,159090.0,49.0,773.0,12.0
5.0,4.0,1994.0,1.0,75.0,1.0,29.0,8.5,0.0,90.9,24.1,545521.9,172.9,32148.0,94.0,1479.0,1.0
4.0,1.0,1952.0,2.0,100.0,1.0,124.6,6.1,1.0,174.3,83653.7,490817.8,567.5,80568.0,16.0,8367.0,2.0
4.0,1.0,1952.0,2.0,100.0,1.0,127.2,6.2,1.1,178.0,100695.8,591999.5,676.2,95056.0,8.0,8373.0,2.0
4.0,1.0,1952.0,2.0,100.0,1.0,131.8,5.0,1.1,173.9,82657.9,359173.4,519.4,72016.0,17.0,8374.0,56.0
1.0,2.0,1947.0,1.0,100.0,1.0,95.3,27.9,0.0,298.9,179.4,2564943.5,813.0,92000.0,33.0,1634.0,65.0
1.0,1.0,1914.0,2.0,100.0,1.0,81.0,3.2,0.0,105.5,1293.9,224405.4,370.4,69094.0,99.0,1247.0,40.0
1.0,1.0,1914.0,1.0,100.0,1.0,56.5,4.8,0.4,93.3,27799.0,329716.3,254.2,69148.0,81.0,1247.0,43.0
2.0,1.0,1960.0,2.0,95.0,1.0,105.8,5.5,0.0,147.4,10333.1,1385187.3,1891.7,249600.0,32.0,3716.0,1.0
2.0,1.0,1962.0,1.0,95.0,2.0,22.7,5.5,0.0,63.0,4894.2,685623.9,252.7,124800.0,100.0,3716.0,1.0
2.0,1.0,1960.0,1.0,95.0,2.0,23.5,5.6,0.0,64.7,5439.3,700209.9,258.5,124800.0,99.0,3717.0,1.0
2.0,1.0,1953.0,1.0,95.0,1.0,67.4,3.6,0.6,96.4,30427.2,198288.4,210.3,55200.0,91.0,5907.0,362.0
1.0,1.0,1961.0,2.0,95.0,1.0,55.3,4.6,0.1,90.0,149212.0,7159442.9,6545.0,1542240.0,94.0,1656.0,1.0
1.0,1.0,1961.0,1.0,95.0,2.0,33.3,6.7,0.1,82.6,92768.0,5884436.8,2438.5,881280.0,96.0,1678.0,1.0
3.0,5.0,2005.0,1.0,100.0,1.0,94.1,14.7,0.4,203.6,8780.8,294080.0,134.8,20000.0,14.0,1905.0,120.0
3.0,1.0,1965.0,1.0,100.0,1.0,93.6,5.2,0.8,135.1,202045.7,1373199.8,1404.3,266000.0,59.0,1905.0,120.0
3.0,5.0,1955.0,1.0,100.0,1.0,85.8,10.6,0.5,165.6,13897.9,296628.0,167.7,28000.0,39.0,1919.0,1.0
3.0,5.0,1900.0,1.0,100.0,1.0,85.8,10.6,0.5,165.6,21839.2,466139.9,263.6,44000.0,25.0,1919.0,1.0
3.0,5.0,1955.0,1.0,100.0,1.0,85.8,10.6,0.5,165.6,12905.0,275448.0,155.8,26000.0,24.0,1919.0,1.0
3.0,5.0,1888.0,1.0,100.0,1.0,85.8,10.6,0.5,165.6,4963.6,105936.0,59.9,10000.0,11.0,1920.0,1.0
3.0,5.0,1887.0,1.0,100.0,1.0,85.8,10.6,0.5,165.6,19854.4,423755.9,239.6,40000.0,6.0,1920.0,1.0
3.0,5.0,1900.0,1.0,100.0,1.0,85.8,10.6,0.5,165.6,8438.3,180096.0,101.8,17000.0,80.0,1920.0,1.0
3.0,5.0,1887.0,1.0,100.0,1.0,85.8,10.6,0.5,165.6,6949.5,148320.0,83.9,14000.0,16.0,1920.0,1.0
3.0,5.0,1957.0,1.0,100.0,1.0,137.4,10.6,1.0,219.8,47587.1,497915.9,410.4,47000.0,68.0,1920.0,1.0
3.0,1.0,1986.0,1.0,100.0,1.0,96.7,9.4,0.6,168.8,38074.7,556178.5,390.1,59000.0,55.0,1920.0,1.0
3.0,5.0,1920.0,1.0,100.0,1.0,74.3,7.4,0.5,130.7,35353.3,531839.9,356.2,72000.0,33.0,1921.0,1.0
3.0,5.0,1975.0,1.0,100.0,1.0,124.2,18.2,0.6,259.9,67863.3,1979562.6,961.9,109000.0,1.0,1922.0,1.0
3.0,1.0,1900.0,1.0,100.0,1.0,75.7,4.4,0.6,110.8,9889.4,71640.0,75.2,16296.0,73.0,1922.0,1.0
3.0,1.0,1900.0,1.0,100.0,1.0,16.9,3.1,0.1,40.0,1016.9,50800.0,21.3,16296.0,100.0,1922.0,1.0
3.0,1.0,1900.0,1.0,100.0,1.0,58.5,1.1,0.5,69.4,12264.1,25050.0,73.1,22407.0,93.0,1922.0,1.0
1.0,1.0,1970.0,2.0,95.0,1.0,72.9,6.0,0.0,117.4,16433.7,5070279.7,4675.8,843963.0,68.0,1763.0,1.0
1.0,1.0,1970.0,1.0,95.0,2.0,24.3,6.5,0.0,72.1,8217.0,2570799.8,866.5,393990.0,100.0,1763.0,1.0
1.0,1.0,1970.0,1.0,95.0,2.0,20.9,5.6,0.0,61.9,8216.7,2519793.7,868.5,449973.0,98.0,1764.0,1.0
1.0,1.0,1966.0,2.0,95.0,1.0,108.8,5.1,0.9,150.3,2081328.9,11506333.3,14065.8,2274380.0,41.0,2016.0,50.0
1.0,1.0,1966.0,1.0,95.0,2.0,23.9,5.8,0.0,66.4,31405.9,4440180.9,1612.3,766080.0,100.0,1744.0,1.0
1.0,1.0,1966.0,1.0,95.0,2.0,19.4,4.7,0.0,53.8,50421.0,7084439.6,2650.3,1508300.0,100.0,2016.0,50.0
5.0,1.0,1984.0,2.0,100.0,1.0,35.6,4.7,0.2,71.1,22241.0,540973.0,293.4,114300.0,97.0,4500.0,7501.0
3.0,1.0,1988.0,8.0,100.0,1.0,71.5,5.6,0.5,115.0,71065.0,758329.9,584.8,135507.0,35.0,1957.0,7501.0
3.0,1.0,1964.0,1.0,100.0,1.0,17.9,5.2,0.5,56.2,44947.2,2032705.2,682.6,387600.0,100.0,3058.0,1.0
3.0,1.0,1964.0,1.0,100.0,1.0,17.0,5.0,0.5,53.5,44947.2,1934931.0,652.5,387600.0,100.0,3060.0,75.0
3.0,1.0,1965.0,1.0,100.0,1.0,18.7,5.5,0.5,58.7,44947.2,2124205.4,715.0,387600.0,100.0,3077.0,1.0
3.0,1.0,1973.0,1.0,100.0,1.0,18.6,5.5,0.5,58.4,44947.2,2114562.0,708.4,387600.0,100.0,3078.0,1.0
3.0,1.0,1973.0,1.0,100.0,1.0,18.9,5.5,0.5,59.4,44947.2,2147857.6,726.2,387600.0,100.0,3078.0,1.0
3.0,1.0,1951.0,1.0,100.0,1.0,63.2,1.3,0.6,75.3,34500.6,73333.3,194.5,58560.0,100.0,7216.0,38.0
